,from,to,times,via,distance,emissions
0,Copenhagen,Innsbruck,2.0,,311.314,19.628347700000003
1,Ølstykke,Lund,2.0,,99.5962,6.279540410000001
2,Copenhagen,Uppsala,2.0,,1047.5448000000001,66.04769964000002
3,København,Lund,2.0,,23.345,1.47190225
4,Roskilde,Lund,4.0,,171.2732,10.798775260000001
5,Copenhagen,Paris,1.0,,332.30559999999997,20.95186808
6,København,Lausanne,4.0,,1261.2308,79.52060194000002
7,Aarhus,Bruxelles,2.0,,400.1632,25.230289760000005
8,Geneva,Grenoble,2.0,,0.0,0.0
9,Stockholm,Uppsala,2.0,,0.0,0.0
10,København,Bruxelles,2.0,,664.6111999999999,41.90373616
11,Copenhagen,Faro,2.0,,664.6111999999999,41.90373616
12,Copenhagen,Hamburg,2.0,,439.4402,27.706704610000003
13,Bruxelles,Paris,2.0,,0.0,0.0
14,Copenhagen,Utrecht,2.0,,664.6111999999999,41.90373616
15,København,Leipzig,2.0,,311.314,19.628347700000003
16,Copenhagen,Geneva,2.0,,630.6154,39.76030097000001
17,Copenhagen,Lund,2.0,,23.345,1.47190225
18,Geneva,Lyon,2.0,,114.21719999999999,7.20139446
