,ferry_travels,distance,emissions
0,1,131.3,120.13950000000001
1,2,262.6,240.27900000000002
2,3,393.90000000000003,360.41850000000005
3,2,262.6,240.27900000000002
4,3,393.90000000000003,360.41850000000005
5,1,131.3,120.13950000000001
6,1,131.3,120.13950000000001
7,1,131.3,120.13950000000001
8,6,787.8000000000001,720.8370000000001
9,1,131.3,120.13950000000001
10,24,3151.2000000000003,2883.3480000000004
11,7,919.1000000000001,840.9765000000001
12,2,262.6,240.27900000000002
13,1,131.3,120.13950000000001
14,1,131.3,120.13950000000001
15,2,262.6,240.27900000000002
16,2,262.6,240.27900000000002
17,5,656.5,600.6975
18,4,525.2,480.55800000000005
19,3,393.90000000000003,360.41850000000005
20,1,131.3,120.13950000000001
