,from,to,times,distance,emissions
0,Roskilde,Odense,2.0,257.159,15.155408505999999
1,København,Sønderborg,2.0,645.475,38.04042365
2,Vedskølle,Odense,6.0,522.8106,30.8113199004
3,Roskilde,Aarhus,2.0,536.4572,31.615568624799998
4,Roskilde,Odense,6.0,771.477,45.466225518
5,Roskilde,Middelfart,0.2,31.955820000000003,1.8832842958800002
6,København H,Roskilde,2.0,69.0034,4.0666463755999995
7,København,Aarhus,2.0,605.184,35.665913855999996
8,København,Aarhus,4.0,1210.368,71.33182771199999
9,Roskilde,Odense,2.0,257.159,15.155408505999999
10,København,Middelfart,2.0,388.28520000000003,22.8831999768
11,København,Aarhus,4.0,1210.368,71.33182771199999
12,Roskilde,København,10.0,357.1769999999999,21.049869317999995
13,København,Aarhus,12.0,3631.104,213.995483136
14,Roskilde,København,8.0,285.74159999999995,16.839895454399997
15,Roskilde,København,12.0,428.6123999999999,25.259843181599997
16,København H,Herning,2.0,611.424,36.033662016
17,København,Roskilde,2.0,71.218,4.197161612
18,Roskilde,Silkeborg,2.0,515.7982000000001,30.398051118800005
19,København,Aarhus,4.0,1210.368,71.33182771199999
20,Trekroner,Odense,4.0,677.4531999999999,39.9250268888
21,Roskilde,Middelfart,2.0,319.5582,18.8328429588
22,København,Aarhus,4.0,1210.368,71.33182771199999
23,Roskilde,Aarhus,2.0,536.4572,31.615568624799998
24,København,Aarhus,4.0,1210.368,71.33182771199999
25,København,Aarhus,2.0,605.184,35.665913855999996
26,Helsingør,Aarhus,4.0,1369.5416,80.7125646544
27,København,Aarhus,4.0,1210.368,71.33182771199999
28,Hvalsø,Odense,4.0,457.3924,26.9559637016
29,København,Aarhus,8.0,2420.736,142.66365542399998
30,København,Aarhus,12.0,3631.104,213.995483136
31,Aarhus,København,8.0,1505.4216000000001,88.72051657440001
32,Roskilde,Aarhus,6.0,1609.3716,94.8467058744
33,Roskilde,Odense,2.0,257.159,15.155408505999999
34,Aarhus,Risø,30.0,4881.717,287.69910967799996
35,Roskilde,Aarhus,6.0,1609.3716,94.8467058744
36,Glostrup,Middelfart,2.0,379.215,22.348656809999998
37,Greve,Middelfart,2.0,344.2624,20.288760281600002
38,København,Aarhus,10.0,3025.92,178.32956928000002
39,København,Aarhus,2.0,605.184,35.665913855999996
40,Tåstrup,Middelfart,2.0,362.39959999999996,21.3576580264
41,Roskilde,Aarhus,2.0,536.4572,31.615568624799998
42,København,Aarhus,2.0,605.184,35.665913855999996
43,Vedskølle,København,4.0,451.4984,26.6086067056
44,Roskilde,Aarhus,4.0,1072.9144,63.231137249599996
45,Middelfart,Aarhus,0.2,22.33118,1.31606576212
46,København,Viborg,2.0,646.6778,38.1113094652
47,Roskilde,Herning,2.0,544.9116,32.1138202344
48,København,Fredericia,2.0,428.24440000000004,25.238155469600002
49,Roskilde,Flakkebjerg,14.0,963.5625999999999,56.78659826839999
50,Trekroner,København,10.0,65.77,3.8760891799999997
51,Roskilde,København,2.0,71.43539999999999,4.209973863599999
52,Middelfart,Aarhus,2.0,223.31179999999998,13.160657621199999
53,København,Middelfart,2.0,388.28520000000003,22.8831999768
54,Aarhus,Roskilde,14.0,2175.887,128.233724458
55,Aarhus,København,8.0,1505.4216000000001,88.72051657440001
56,København,Aalborg,2.0,827.0495999999999,48.741341126399995
57,Tåstrup,Sorø,2.0,136.5938,8.0500190092
58,Roskilde,København,8.0,285.74159999999995,16.839895454399997
59,København,Odense,2.0,325.886,19.205765524
60,Roskilde,Vejle,2.0,399.1972,23.5262877848
61,Roskilde,DTU Lyngby,20.0,787.4560000000001,46.40793190400001
62,Aarhus,Odense,6.0,847.6512,49.955475820800004
63,København,Skive,1.0,368.6653,21.7269207902
64,Roskilde,Aarhus,6.0,1609.3716,94.8467058744
65,Trekroner,Aarhus,4.0,1236.0496,72.8453471264
